epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,596.62,0.62134,0.30702,0.01048,0.91291,0.76466,0.85439,0.62315,0.86732,0.533,0.01692,0.0011684,0.0011684,0.0011684
44,609.377,0.67428,0.35438,0.01144,0.89319,0.7625,0.85175,0.6374,0.75439,0.48457,0.01347,0.0011486,0.0011486,0.0011486
45,622.301,0.67016,0.3438,0.01154,0.91949,0.78723,0.88215,0.64001,0.84251,0.49554,0.01521,0.0011288,0.0011288,0.0011288
46,635.059,0.63658,0.34171,0.01188,0.89444,0.74688,0.84278,0.61869,0.86392,0.58356,0.01745,0.001109,0.001109,0.001109
47,647.857,0.6209,0.30494,0.0112,0.88253,0.80243,0.87127,0.62711,0.82346,0.46518,0.01808,0.0010892,0.0010892,0.0010892
48,660.646,0.63162,0.33317,0.01022,0.92437,0.78019,0.86977,0.65484,0.68716,0.44236,0.01157,0.0010694,0.0010694,0.0010694
49,673.628,0.66027,0.334,0.01016,0.90453,0.75684,0.8564,0.63374,0.72812,0.44088,0.01255,0.0010496,0.0010496,0.0010496
50,686.421,0.61201,0.31651,0.00951,0.90942,0.74468,0.83199,0.64002,0.67802,0.52163,0.01087,0.0010298,0.0010298,0.0010298
51,699.371,0.56114,0.31061,0.00965,0.90691,0.75988,0.86081,0.65129,0.71994,0.42934,0.01259,0.00101,0.00101,0.00101
52,712.124,0.56386,0.29441,0.00956,0.88946,0.73369,0.83065,0.62999,0.7161,0.51377,0.01271,0.0009902,0.0009902,0.0009902
53,724.894,0.59984,0.30452,0.00917,0.93012,0.74772,0.85115,0.63537,0.70429,0.45692,0.01133,0.0009704,0.0009704,0.0009704
54,737.687,0.57243,0.29437,0.0099,0.91239,0.769,0.85795,0.64099,0.74483,0.5215,0.01397,0.0009506,0.0009506,0.0009506
55,750.383,0.57303,0.28449,0.00984,0.89024,0.81355,0.88479,0.6678,0.66459,0.40133,0.0111,0.0009308,0.0009308,0.0009308
56,763.237,0.60068,0.28881,0.00917,0.91589,0.78723,0.87953,0.66341,0.66966,0.39938,0.01096,0.000911,0.000911,0.000911
57,776.047,0.59481,0.29695,0.00974,0.91036,0.77812,0.85046,0.64738,0.69063,0.4753,0.01138,0.0008912,0.0008912,0.0008912
58,788.873,0.53009,0.2618,0.0089,0.93177,0.74719,0.85587,0.65597,0.67695,0.47949,0.01075,0.0008714,0.0008714,0.0008714
59,801.55,0.54205,0.28126,0.00899,0.92804,0.74772,0.85038,0.6565,0.62662,0.4929,0.00897,0.0008516,0.0008516,0.0008516
60,814.659,0.60576,0.31269,0.00925,0.92523,0.77812,0.88424,0.67936,0.65686,0.40365,0.01068,0.0008318,0.0008318,0.0008318
61,827.619,0.5449,0.28048,0.00849,0.9147,0.78224,0.87587,0.67318,0.65881,0.37661,0.01059,0.000812,0.000812,0.000812
62,840.298,0.55835,0.2767,0.00885,0.91586,0.77812,0.88212,0.67836,0.62391,0.35855,0.00941,0.0007922,0.0007922,0.0007922
63,853.084,0.52736,0.27422,0.00826,0.90104,0.81155,0.8899,0.67198,0.64043,0.40365,0.0099,0.0007724,0.0007724,0.0007724
